Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","New Caledonia","NCL","221.921","170.306","126.205","128.947","133.68","128.518","123.429","118.786","114.552","110.45","120.481","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","New Zealand","NZL","142.877","104.312","80.47","79.095","76.511","79.171","79.952","80.075","82.524","74.237","77.693","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Nicaragua","NIC","292.294","253.04","205.393","202.537","198.756","194.048","189.873","187.337","187.874","216.975","188.247","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Niger","NER","336.77","312.371","254.589","250.698","256.035","248.855","243.116","239.18","238.442","269.44","274.319","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Nigeria","NGA","419.692","423.432","381.514","381.987","381.935","376.717","375.885","372.918","370.397","377.226","386.451","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","North Macedonia","MKD","160.891","158.094","114.905","111.829","109.211","105.197","98.377","90.804","88.095","110.334","128.364","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Northern Mariana Islands","MNP","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Norway","NOR","127.55","106.629","75.058","69.462","65.805","65.857","61.92","62.496","60.834","59.917","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Oman","OMN","175.106","149.412","85.516","82.73","79.4","76.241","76.563","76.456","76.463","102.505","136.709","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Pakistan","PAK","220.051","217.473","218.614","218.746","214.322","213.777","209.9","208.923","204.448","215.472","220.77","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Palau","PLW","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Panama","PAN","186.577","166.79","147.792","144.044","141.085","139.77","140.62","144.414","152.34","156.037","160.696","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Papua New Guinea","PNG","330.231","297.968","287.728","283.128","280.808","279.941","274.318","274.989","275.502","267.834","276.17","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Paraguay","PRY","211.342","219.227","192.331","191.989","188.446","185.031","183.086","183.95","183.803","198.785","236.566","#N/A"
"Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","Peru","PER","230.396","192.316","146.978","143.631","142.013","142.14","142.722","141.708","138.319","184.307","209.198","#N/A"
